,FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,Energy_kcal,Carbohydrate_g,Protein_g,Totalfat_g,Saturatedfat_g,Dietaryfibre_g,Cholestrol_mg,Sodium_mg,Energy_kcal%,Carbohydrate_g%,Protein_g%,Totalfat_g%,Saturatedfat_g%,Dietaryfibre_g%,Cholestrol_mg%,Sodium_mg%,RRR',T',T'c,RRR,TOri
73,Apricot dried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fruit and fruit products,Packet (202g),521.16,127.87,1.62,0.4,0.14,19.59,0,44.44,26.058,42.62333333,2.16,0.625,0.7,78.36,0,1.851666667,2.918058985,14.28373737,0.527893317,5.6288667,0.005987128
74,Apricots,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (38g),18.24,4.23,0.53,0.15,0.01,0.76,0,0.38,0.912,1.41,0.706666667,0.234375,0.05,3.04,0,0.015833333,2.891257477,0.837342172,0.437940466,7.663200954,0.002245173
75,Aquaresin garlic,MISCELLANEOUS,Stock cubes / flavourings essence yeast extractsetc,Gram (1g),8.54,0.01,0,0.95,0.13,0,0,1.75,0.427,0.003333333,0,1.484375,0.65,0,0,0.072916667,0,0.853642677,0.598207902,0,0.014219428
76,Artificial sweetener aspartame,MISCELLANEOUS,Others,Teaspoon (3.5g),12.78,3.12,0.08,0,0,0,0,0,0.639,1.04,0.106666667,0,0,0,0,0,0.096146492,0.711515152,0.434115407,0.333854982,0
77,Arugula raw,VEGETABLE AND VEGETABLE PRODUCTS,Vegetablesleafy,Cup (20g),5,0.41,0.52,0.13,0.02,0.32,0,5.4,0.25,0.136666667,0.693333333,0.203125,0.1,1.28,0,0.225,3.068513806,0.486950758,0.389560606,6.863768116,0.001945816
78,Asparagus canned solid and liquid,VEGETABLE AND VEGETABLE PRODUCTS,Vegetables non-leafy (eg sweetcorn beansprouts),Stalk (10g),1.41,0.22,0.18,0.02,0,0.21,0,34.8,0.0705,0.073333333,0.24,0.03125,0,0.84,0,1.45,1.069672795,0.828295455,0.773746338,1.420585334,0.000299356
79,Assam buoy,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Sauces gravies and dressings,Teaspoon (3g),5.31,1.27,0.03,0.01,0,0.11,0,210.15,0.2655,0.423333333,0.04,0.015625,0,0.44,0,8.75625,0.114903257,3.397897727,2.685023886,0.10640951,0.000149678
80,Assam fish,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (183.6g),134.03,2.2,22.58,4.04,2.33,2.02,66.1,578.34,6.7015,0.733333333,30.10666667,6.3125,11.65,8.08,22.03333333,24.0975,1.45644376,10.49181818,1.362308405,1.184407099,0.06046999
81,Assam powder,MISCELLANEOUS,Others,Tablespoon (15g),35.7,8.76,0.14,0,0,0.47,0,1194.6,1.785,2.92,0.186666667,0,0,1.88,0,49.775,0.092968222,17.92984848,6.438006637,0.080165503,0
82,Assam prawn,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Plate-23cm (414.5g),586.48,32.33,52.64,27.36,14.92,0.41,563.72,2673.53,29.324,10.77666667,70.18666667,42.75,74.6,1.64,187.9066667,111.3970833,0.431821893,55.58478535,1.83302946,0.35625855,0.409519533
83,Assam prawn,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Fish and seafood based dishes,Plate-16cm (124g),136.15,3.37,19.84,4.81,1.59,2.44,202.52,896.77,6.8075,1.123333333,26.45333333,7.515625,7.95,9.76,67.50666667,37.36541667,0.748408745,15.40640783,1.973283103,0.605424383,0.07199521
84,Athirasam deep fried,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Local cakes desserts and snacks,Piece (55g),238.15,36.14,1.98,9.52,4.28,0.83,0,34.65,11.9075,12.04666667,2.64,14.875,21.4,3.32,0,1.44375,0.30663957,10.05291667,0.77884305,0.343009244,0.142493639
85,Avocado juice with added milk,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Beverages,Glass (250ml) (250g),127.5,7.75,2.75,9.5,2.48,2.5,0,52.5,6.375,2.583333333,3.666666667,14.84375,12.4,10,0,2.1875,1.431268942,6.646780303,0.901258346,1.303915723,0.142194282
86,Avocados raw all commercial varieties,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (272g),435.2,23.2,5.44,39.88,5.78,18.22,0,19.04,21.76,7.733333333,7.253333333,62.3125,28.9,72.88,0,0.793333333,3.691811115,21.97224747,0.965388729,3.114796579,0.596916629
87,Ayam buah keluak,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Bowl-soup (16 and 1/2 cm) (662g),900.32,23.83,66.86,59.58,19.2,3.97,377.34,3210.7,45.016,7.943333333,89.14666667,93.09375,96,15.88,125.78,133.7791667,0.642291104,78.36491162,1.70299269,0.52437932,0.891782667
88,Ayam kurmah,MIXED ETHNIC DISHES ANALYZED IN SINGAPORE,Meat based dishes,Bowl-soup (16 and 1/2 cm) (519g),877.11,38.93,29.06,66.95,35.34,10.38,67.47,1001.67,43.8555,12.97666667,38.74666667,104.609375,176.7,41.52,22.49,41.73625,0.677553515,52.57581439,1.172115223,0.563706534,1.002095495
