name,brand name,ram,storage,battery,camera 1,camera 2,screen,resolution w,resolution h,thickness,os,color,price
LG G Vista 2,LG,2,16,3000,13,5,5.7,1080,1920,9.7,Android,black,190 EUR
LG V10,LG,4,64,3000,16,0,5.7,1440,2560,8.6,Android,black_white_blue,250 EUR
LG Nexus 5X,LG,2,32,2700,12,5,5.2,1080,1920,7.9,Android,black_white,270 EUR
LG Zero,LG,2,16,2050,13,8,5,720,1280,7.4,Android,black_silver_gold_blue,190 EUR
LG G Pad II 10.1,LG,2,16,7400,5,2,10.1,1920,1200,7.8,Android,black_white,250 EUR
LG G3 Screen,LG,2,32,3000,13,2.1,5.9,1080,1920,9.5,Android,black_white,250 EUR
LG G3 A,LG,2,32,2610,13,2.1,5.2,1080,1920,9.8,Android,white,360 EUR
LG G Pad 8.3 LTE,LG,2,16,4600,5,1.3,8.3,1200,1920,8.9,Android,black,220 EUR
LG GX F310L,LG,2,32,3140,13,2.1,5.5,1080,1920,9.2,Android,black_white,250 EUR
LG Nexus 5,LG,2,32,2300,8,1.3,4.95,1080,1920,8.6,Android,black_white_red,260 EUR
LG G Flex,LG,2,32,3500,13,2.1,6,720,1280,8.7,Android,silver,360 EUR
LG G Pad 8.3,LG,2,16,4600,5,1.3,8.3,1200,1920,8.3,Android,black_white,300 EUR
LG G2,LG,2,32,3000,13,2.1,5.2,1080,1920,8.9,Android,black_white_gold_red,270 EUR
LG Optimus GJ E975W,LG,2,16,2280,13,1.3,4.7,720,1280,9.4,Android,black_red,270 EUR
LG Optimus G Pro E985,LG,2,32,3140,13,2.1,5.5,1080,1920,9.4,Android,black_white,400 EUR
LG Nexus 4 E960,LG,2,16,2100,8,1.3,4.7,768,1280,9.1,Android,black_white,250 EUR
LG Optimus Vu II,LG,2,16,2150,8,1.3,5,768,1024,9.4,Android,black_white_pink,0
LG Optimus G E970,LG,2,16,2100,8,1.3,4.7,768,1280,8.4,Android,black,250 EUR
LG Optimus G LS970,LG,2,32,2100,13,1.3,4.7,768,1280,8.5,Android,black,480 EUR
LG Optimus G E975,LG,2,32,2100,13,1.3,4.7,768,1280,8.5,Android,black_white,160 EUR
LG Optimus LTE2,LG,2,16,2150,8,1.3,4.7,720,1280,8.9,Android,black_white,210 EUR
Samsung Galaxy C7 (2017),Samsung,4,32,3000,13,16,5.5,1080,1920,7.9,Android,black_gold_pink,400 EUR
Samsung Galaxy S8 Active,Samsung,4,64,4000,12,8,5.8,1440,2960,9.9,Android,gold_gray,850 USD
Samsung Galaxy J7 Max,Samsung,4,32,3300,13,13,5.7,1080,1920,8.1,Android,black_gold,250 EUR
Samsung Galaxy S8,Samsung,4,64,3000,12,8,5.8,1440,2960,8,Android,black_silver_gold_blue_gray_pink_red,610 EUR
Samsung Galaxy C5 Pro,Samsung,4,64,2600,16,16,5.2,1080,1920,7,Android,blue,0
Samsung Galaxy Tab S3 9.7,Samsung,4,32,6000,13,5,9.7,1536,2048,6,Android,black_white,750 EUR
Samsung Galaxy C7 Pro,Samsung,4,64,3300,16,16,5.7,1080,1920,7,Android,gold_blue_pink,420 EUR
Samsung Galaxy A3 (2017),Samsung,2,16,2350,13,8,4.7,720,1280,7.9,Android,black_gold_blue,330 EUR
Samsung Galaxy C9 Pro,Samsung,6,64,4000,16,16,6,1080,1920,6.9,Android,black_gold_pink,620 EUR
Samsung Galaxy J5 Prime,Samsung,2,32,2400,13,5,5,720,1280,8.1,Android,black_gold,230 EUR
Samsung Galaxy Note7 (USA),Samsung,4,64,3500,12,5,5.7,1440,2560,7.9,Android,black_silver_blue,760 EUR
Samsung Galaxy Note7,Samsung,4,64,3500,12,5,5.7,1440,2560,7.9,Android,black_silver_gold_blue,850 EUR
Samsung Galaxy On7 Pro,Samsung,2,16,3000,13,5,5.5,720,1280,8,Android,black_white_gold,180 EUR
Samsung Galaxy C7,Samsung,4,64,3300,16,8,5.7,1080,1920,6.8,Android,gold_gray_pink,450 EUR
Samsung Galaxy C5,Samsung,4,64,2600,16,8,5.2,1080,1920,6.7,Android,gold_gray_pink,360 EUR
Samsung Galaxy J5 (2016),Samsung,2,16,3100,13,5,5.2,720,1280,8.1,Android,black_white_gold,190 EUR
Samsung Galaxy S7,Samsung,4,64,3000,12,5,5.1,1440,2560,7.9,Android,black_white_silver_gold_pink,450 EUR
Samsung Galaxy S7 edge (USA),Samsung,4,32,3600,12,5,5.5,1440,2560,7.7,Android,black_silver_gold_blue,450 EUR
Samsung Galaxy A5 (2016),Samsung,2,16,2900,13,5,5.2,1080,1920,7.3,Android,black_white_gold_pink,270 EUR
Samsung Galaxy Note5 (USA),Samsung,4,64,3000,16,5,5.7,1440,2560,7.6,Android,black_white,540 EUR
